Job,Company,Location,Average Salary
Data Analyst,P3 Impulsores Estrategicos,Ciudad de México,50000.0
Data Analyst,Universidad Tecnológica De México,Ciudad de México,13150.0
Data Analyst,Conduent De México Sa De Cv,Chihuahua,8750.0
Data Analyst,Grupo Comercial Control,Estado de México,8000.0
Data Analyst,"Ediciones Larousse, S.A. De C.V.",Ciudad de México,7500.0
Data Analyst,Gepp,Jalisco,9925.0
Data Analyst,Jeltm Asesores Fiscales,Ciudad de México,21000.0
Data Analyst,Adecco,Estado de México,26500.0
Data Analyst,Kukulcan Express Sa De Cv,Quintana Roo,11000.0
Data Analyst,Encontrack Sa De Cv,Ciudad de México,17500.0
Data Analyst,"Finya, S.A. De C.V.",Ciudad de México,10250.0
Data Analyst,"Junior De México, S.A. De C.V.",Ciudad de México,22500.0
Data Analyst,Llantas Cavazos Sa  De Cv,Nuevo León,11000.0
Data Analyst,"Marzam, S.A De C.V.",Ciudad de México,9750.0
Data Analyst,Prowork,Puebla,40000.0
Data Analyst,Gaim Regiomontana S.A De C.V,Nuevo León,13500.0
Data Analyst,Price Shoes,Ciudad de México,12250.0
Data Analyst,Prefabricados Y Construcciones Ind...,Nuevo León,7500.0
Data Analyst,Banorte,Ciudad de México,24000.0
Data Analyst,Pepsico División Foods,Zacatecas,8350.0
Data Analyst,Pepsico División Foods,Zacatecas,8003.5
Data Analyst,Grupo Evolve Interactive S.C.,Ciudad de México,18000.0
Data Analyst,Psm Asesores,Ciudad de México,22000.0
Data Analyst,"Fisofo, S.A. De C.V., Sofom Er",Tamaulipas,8500.0
Data Analyst,Compras Centrales Y Administración...,Ciudad de México,23000.0
Data Analyst,Cuatro Networks S De Rl De Cv,Ciudad de México,17500.0
Data Analyst,Performance And People Consulting Sc,Ciudad de México,18250.0
Data Analyst,Servicios Corporativos Ftm Sc,Estado de México,14500.0
Data Analyst,Unidad De Servicios Compartidos Gi...,Ciudad de México,12500.0
Data Analyst,"Servicios Tvm De México, S.A. De C...",Ciudad de México,19000.0
Data Analyst,Plm Premier Sapi De Cv,Ciudad de México,19000.0
Data Analyst,"Profesionales, Asesores Corporativ...",Ciudad de México,16500.0
Data Analyst,Bintech S.A De C.V,Ciudad de México,22500.0
Data Analyst,"Pharmacore Group, Sa De Cv",Ciudad de México,29000.0
Data Analyst,Callcom Sa De Cv,Nuevo León,8000.0
Data Analyst,Softtek,Estado de México,19000.0
Data Analyst,Banorte,Ciudad de México,17500.0
Data Analyst,Pepsico División Foods,Oaxaca,8250.0
Data Analyst,Ku-Bo Financiero Sa De Cv Sfp,Estado de México,21000.0
Data Analyst,Grupo Stt (Oficina Sonora),Ciudad de México,21300.0
Data Analyst,Grupo Stt (Oficina Sonora),Querétaro,21300.0
Data Analyst,Poncot,Ciudad de México,12999.5
Data Analyst,Latin America Business Consulting ...,Estado de México,9000.0
Data Analyst,"Computación, Datos Y Tecnología, S...",Estado de México,9375.0
Data Analyst,Grupo Salinas,Ciudad de México,32500.0
Data Analyst,Linde México,Ciudad de México,30084.0
Data Analyst,Marketstrat,Ciudad de México,16000.0
Data Analyst,"Xaalsa Empresarial, S.A. De C.V.",Ciudad de México,23500.0
Data Analyst,Iss Facility Services Mexico,Querétaro,27500.0
Data Analyst,Médica Sur,Ciudad de México,24500.0
Data Analyst,Pae Desarrollador Empresarial De L...,Ciudad de México,18500.0
Data Analyst,Dimex Capital,Nuevo León,16500.0
Data Analyst,"Bimbo, S.A. De C.V.",Ciudad de México,15500.0
Data Analyst,Grupo Salinas,Ciudad de México,18300.0
Data Analyst,Servicios Corporativos Contigo,Ciudad de México,20500.0
Data Analyst,Grupo American Industries,Chihuahua,24500.0
Data Analyst,Adecco,Ciudad de México,55000.0
Data Analyst,Wiggot Evolucion Inmobiliaria Sapi...,Jalisco,28500.0
Data Analyst,Interware,Ciudad de México,31250.0
Data Analyst,Thales Security Solutions Services,Morelos,21000.0
Data Analyst,Sandvik Mining And Construction De...,Jalisco,16020.0
Data Analyst,Pocket De Latinoamerica Sapi De Cv,Ciudad de México,8250.0
Data Analyst,Online Ventures S A P I De Cv,Ciudad de México,27500.0
Data Analyst,Axa,Ciudad de México,30500.0
Data Analyst,Poder Justo S.A.P.I. De C.V.,Ciudad de México,19000.0
Data Analyst,Adecco,Ciudad de México,21500.0
Data Analyst,"Aig Seguros Mexico, Sa De C.V.",Ciudad de México,27000.0
Data Analyst,Axa,Ciudad de México,31500.0
Data Analyst,"Manpower, S.A. De C.V.",Ciudad de México,39500.0
Data Analyst,"Atento Servicios, S. A. De C.V.",Ciudad de México,55000.0
Data Analyst,Grupo Assa Abloy,Jalisco,17000.0
Data Scientist,Servicios Enki De Mexico Sapi De Cv,Ciudad de México,67500.0
Data Scientist,Instituto De Fertilidad Y Genetica...,Ciudad de México,30000.0
Data Scientist,Sky,Ciudad de México,40000.0
Data Scientist,Monterrey It Cluster,Nuevo León,47500.0
Data Scientist,Adecco,Ciudad de México,42250.0
Data Scientist,Banorte,Ciudad de México,56400.0
Data Scientist,Operacion Integral De Recursos Sc,Ciudad de México,26500.0
Data Engineer,M&Gt Consulting,Ciudad de México,35000.0
Data Architect,Bbva Bancomer,Ciudad de México,54000.0
Data Scientist,Indra,Ciudad de México,71500.0
Data Scientist,Digitalagility S De Rl De Cv,Ciudad de México,45000.0
Data Scientist,Poder Justo S.A.P.I. De C.V.,Ciudad de México,42500.0
Data Scientist,Axented Digital Communications Sa ...,Nuevo León,69000.0
Data Engineer,Daltum Systems S.A De C.V.,Nuevo León,23500.0
Data Architect,Vidanta,Jalisco,62500.0
Data Engineer,Latin America Business Consulting ...,Ciudad de México,42500.0
Data Engineer,Ait Vanguardia Tecnológica S. De R...,Ciudad de México,86000.0
Data Engineer,Sky,Ciudad de México,31500.0
Data Engineer,Consiss,Nuevo León,35000.0
Data Engineer,Ait Vanguardia Tecnológica S. De R...,Ciudad de México,42350.0
Data Engineer,"Office Depot De México, S.A. De C.V.",Ciudad de México,37500.0
Data Engineer,Sky,Ciudad de México,36000.0
Data Engineer,Axa,Ciudad de México,50000.0
Data Engineer,Ait Vanguardia Tecnológica S. De R...,Ciudad de México,42500.0
Data Engineer,Pocket De Latinoamerica Sapi De Cv,Ciudad de México,35000.0
Business Analyst,Team Builder S. De R. L. De C. V.,Ciudad de México,10500.0
Data Engineer,Banamex,Ciudad de México,37500.0
Data Engineer,Bside,Ciudad de México,45000.0
Data Engineer,Indra,Ciudad de México,34000.0
Data Engineer,Digitalagility S De Rl De Cv,Ciudad de México,45000.0
Data Engineer,Nestlé,Ciudad de México,40000.0
Data Engineer,Here,Guanajuato,11000.0
Data Engineer,"Noralogic, S. De R.L. De C.V.",Estado de México,84000.0
Data Engineer,Kairós Digital Solutions México,Ciudad de México,32500.0
Data Engineer,Indra,Ciudad de México,45000.0
Data Engineer,Teradata,Baja California,11000.0
Data Engineer,Anzen Soluciones S.A. De C.V.,Ciudad de México,67500.0
Data Engineer,"Manpower, S.A. De C.V.",Ciudad de México,40000.0
Data Engineer,"Manpower, S.A. De C.V.",Ciudad de México,22000.0
Data Engineer,Axa,Ciudad de México,30500.0
Data Engineer,Bcm,Estado de México,55000.0
Data Engineer,"Trinity Rail De Mexico, S De Rl De...",Querétaro,76500.0
Data Engineer,Teradata,Estado de México,11000.0
Data Scientist,Talento Hatchers Sapi De Cv,Ciudad de México,67000.0
Data Engineer,Alicia Angelica Vazquez Espinoza,Ciudad de México,30000.0
Data Architect,Smart Payment Solutions Sa De Cv,Ciudad de México,65000.0
Data Architect,Zegovia Rh Sa De Cv,Ciudad de México,95000.0
Business Analyst,Ait Vanguardia Tecnológica S. De R...,Ciudad de México,34000.0
Business Analyst,Reclutamiento En Tecnologia,Ciudad de México,26500.0
Business Analyst,Ids Comercial,Ciudad de México,28500.0
Business Analyst,Gdi Grupo Diamante Internacional,Ciudad de México,7150.0
Business Analyst,Compu-Gemm Sa De Cv,Ciudad de México,27500.0
Business Analyst,Sygno,Ciudad de México,16500.0
Data Analyst,Femsa,Ciudad de México,9000.0
Business Analyst,Ait Vanguardia Tecnológica S. De R...,Ciudad de México,35000.0
Business Analyst,Daltum Systems S.A De C.V.,Estado de México,30500.0
Business Analyst,"Acepte Soluciones Integrales, S. D...",Ciudad de México,32500.0
Business Analyst,Santander,Querétaro,32000.0
Business Analyst,Bancoppel,Ciudad de México,31500.0
Business Analyst,Nityo Infotech Corporation Mexico ...,Estado de México,85000.0
