Job,Salary,Company,Location
Analista de datos,"$47,000 - $53,000  Mensual",P3 IMPULSORES ESTRATEGICOS,CDMX
Analista de Datos,"$35,000  Mensual",Corporativo Mek de México,Ciudad de México
Analista de datos,,FIDELITY MARKETING S.A DE C.V,CDMX
Analista de datos,"$13,000 - $13,300  Mensual",Universidad Tecnológica de México,Ciudad de México
Analista de Datos,,Laboratorios Médicos del Chopo,CDMX
ANALISTA DE DATOS,"$8,500 - $9,000  Mensual",Conduent de México SA de CV,Chih.
Analista de datos,,Banamex,CDMX
Analista de Datos,"$7,500 - $8,500  Mensual",Grupo Comercial Control,Edo. Méx.​
Analista de datos,"$7,000 - $8,000  Mensual","Ediciones Larousse, S.A. de C.V.",CDMX
ANALISTA DE DATOS,"$12,000  Mensual",Auto Líneas América,Gto.
Analista de Datos,"$9,450 - $10,400  Mensual",GEPP,Jal.
Analista de datos,"$20,000 - $22,000  Mensual",JELTM ASESORES FISCALES,Ciudad de México
Analista de datos,"$25,000 - $28,000  Mensual",Adecco,Edo. Méx.​
Analista de datos,"$15,000 - $18,000  Mensual",,Chih.
Analista de datos,"$10,000 - $12,000  Mensual",KUKULCAN EXPRESS SA DE CV,Q. Roo
Analista de Datos,"$26,000  Mensual",Adecco,CDMX
Analista de datos,,"FARMACIA GUADALAJARA, S.A. DE C.V.",Jal.
Analista de Datos,"$15,000 - $20,000  Mensual",Encontrack SA de CV,CDMX
Analista de datos,,,N.L.
Analista de datos,"$9,000 - $11,500  Mensual","Finya, S.A. de C.V.",Ciudad de México
Analista de datos,"$20,000 - $25,000  Mensual","Junior de México, S.A. de C.V.",CDMX
Analista de datos,"$10,000 - $12,000  Mensual",LLantas Cavazos SA  de CV,N.L.
Analista de Datos,"$9,500 - $10,000  Mensual","Marzam, S.A de C.V.",CDMX
Analista de datos TI,"$35,000 - $45,000  Mensual",PROWORK,Pue.
ANALISTA DE DATOS,,EMBE PERSONAL S.A. DE C.V.,Yucatán
Analista de datos,"$12,000 - $15,000  Mensual",GAIM REGIOMONTANA S.A DE C.V,N.L.
Analista de datos,,Praxis,México
Analista de Datos Maestros,"$12,000 - $12,500  Mensual",Price Shoes,CDMX
Capturista y analista de datos,"$7,000 - $8,000  Mensual",Prefabricados y construcciones ind...,N.L.
ANALISTA DE DATOS SQL,"$23,000 - $25,000  Mensual",Banorte,CDMX
ANALISTA DE DATOS JR,,Santander,Ciudad de México
Analista de datos/ Inase,"$8,000 - $8,700  Mensual",Pepsico División Foods,Zac.
Analista de datos/ INASE,"$8,000 - $8,007  Mensual",Pepsico División Foods,Zac.
ANALISTA DE DATOS JR,"$12,000  Mensual",Banorte,N.L.
Analista de datos/inase,,Pepsico División Foods,Gto.
Analista de datos en Retail,"$16,000 - $20,000  Mensual",GRUPO EVOLVE INTERACTIVE S.C.,Ciudad de México
Analista de Datos (sucursal),"$17,000  Mensual",Banorte,N.L.
Analista de Datos SR,"$20,000  Mensual",Banorte,N.L.
Analista de datos BILINGUE,"$16,000 - $18,000  Mensual",,Chih.
Analista de Datos IT,"$20,000 - $24,000  Mensual",PSM Asesores,CDMX
ANALISTA DE DATOS MAESTROS,,Price Shoes,CDMX
Analista de Datos (Estadísticos),"$15,000 - $19,000  Mensual",,N.L.
Analista de datos maestros,,,N.L.
Analista de datos financieros,"$6,000 - $11,000  Mensual","FISOFO, S.A. DE C.V., SOFOM ER",Tamps.
Analista de datos-SAP,,Deloitte,Ciudad de México
Analista de datos BI,"$22,000 - $24,000  Mensual",Compras Centrales y Administración...,CDMX
Analista de datos maestros,,,Ciudad de México
Analista de datos y procesos,"$15,000 - $20,000  Mensual",CUATRO NETWORKS S DE RL DE CV,CDMX
Analista de Datos BI,,Tecnológico de Monterrey,N.L.
Analista de Datos Sr.,"$18,000 - $18,500  Mensual",PERFORMANCE AND PEOPLE CONSULTING SC,Ciudad de México
Analista de datos y procesos,,Grupo Salinas,CDMX
Analista de datos Comerciales,"$14,000 - $15,000  Mensual",SERVICIOS CORPORATIVOS FTM SC,Edo. Méx.​
Analista de datos maestros,"$12,000 - $13,000  Mensual",UNIDAD DE SERVICIOS COMPARTIDOS GI...,CDMX
Analista de Datos Jr.,"$20,000 - $25,000  Mensual",,CDMX
ANALISTA DE DATOS MAESTROS,,,CDMX
Analista Bases de datos,,,Ciudad de México
ANALISTA MINERIA DE DATOS,"$18,000 - $20,000  Mensual","Servicios TVM de México, S.A. de C...",CDMX
Analista Ciencia de Datos,"$18,000 - $20,000  Mensual",PLM PREMIER SAPI DE CV,CDMX
Analista base de datos,"$16,000 - $17,500  Mensual",,CDMX
Analista base de datos,"$13,000 - $18,000  Mensual",,N.L.
Analista de Datos Comerciales JR.,"$10,000  Mensual",UNIVERSIDAD UNIVER MILENIUM DEL ES...,CDMX
ANALISTA DE DATOS BI Y BA,"$25,400  Mensual",Administración Integral Firpo Izca...,Ciudad de México
Analista de datos Call Center,"$15,000 - $18,000  Mensual","PROFESIONALES, ASESORES CORPORATIV...",CDMX
CONSULTOR ANALISTA DE DATOS SQL,"$20,000 - $25,000  Mensual",Bintech S.A de C.V,Ciudad de México
ANALISTA DE DATOS (para agencia de mercadotecnia),"$12,687  Mensual",,CDMX
Analista de Datos y Operaciones Jr.,,"Operativo Evenplan, S.C.",CDMX
Analista de datos - Information Analyst,,Randstad,CDMX
"Analista de datos y riesgos, ecommerce","$15,000 - $16,000  Mensual",,CDMX
Analista de datos Excel avanzado,"$28,000 - $30,000  Mensual","PHARMACORE GROUP, SA de CV",Ciudad de México
Analista de Datos Contact Center,"$7,000 - $9,000  Mensual",CALLCOM SA DE CV,N.L.
Procesador y Analista de Datos/Planner,,3F BIENESTAR EMOCIONAL SA DE CV,Mor.
Analista de datos JR- REMOTO,"$18,000 - $20,000  Mensual",Softtek,México
*Analista de datos (google analytics)*,,Hitss,Ciudad de México
Becario Analista de Datos (RH),,Out Helping,Querétaro
Analista de datos y riesgos E-Commerce,"$16,000 - $18,000  Mensual",,CDMX
