Job,Company,Location,Average Salary
Data Analyst,P3 Impulsores Estrategicos,Ciudad de México,50000.0
Data Analyst,Corporativo Mek De México,Ciudad de México,
Data Analyst,Fidelity Marketing S.A De C.V,Ciudad de México,
Data Analyst,Universidad Tecnológica De México,Ciudad de México,13150.0
Data Analyst,Laboratorios Médicos Del Chopo,Ciudad de México,
Data Analyst,Conduent De México Sa De Cv,Chihuahua,8750.0
Data Analyst,Banamex,Ciudad de México,
Data Analyst,Grupo Comercial Control,Estado de México,8000.0
Data Analyst,"Ediciones Larousse, S.A. De C.V.",Ciudad de México,7500.0
Data Analyst,Auto Líneas América,Guanajuato,
Data Analyst,Gepp,Jalisco,9925.0
Data Analyst,Jeltm Asesores Fiscales,Ciudad de México,21000.0
Data Analyst,Adecco,Estado de México,26500.0
Data Analyst,Kukulcan Express Sa De Cv,Quintana Roo,11000.0
Data Analyst,Adecco,Ciudad de México,
Data Analyst,"Farmacia Guadalajara, S.A. De C.V.",Jalisco,
Data Analyst,Encontrack Sa De Cv,Ciudad de México,17500.0
Data Analyst,"Finya, S.A. De C.V.",Ciudad de México,10250.0
Data Analyst,"Junior De México, S.A. De C.V.",Ciudad de México,22500.0
Data Analyst,Llantas Cavazos Sa  De Cv,Nuevo León,11000.0
Data Analyst,"Marzam, S.A De C.V.",Ciudad de México,9750.0
Data Analyst,Prowork,Puebla,40000.0
Data Analyst,Embe Personal S.A. De C.V.,Yucatán,
Data Analyst,Gaim Regiomontana S.A De C.V,Nuevo León,13500.0
Data Analyst,Praxis,Estado de México,
Data Analyst,Price Shoes,Ciudad de México,12250.0
Data Analyst,Prefabricados Y Construcciones Ind...,Nuevo León,7500.0
Data Analyst,Banorte,Ciudad de México,24000.0
Data Analyst,Santander,Ciudad de México,
Data Analyst,Pepsico División Foods,Zacatecas,8350.0
Data Analyst,Pepsico División Foods,Zacatecas,8003.5
Data Analyst,Banorte,Nuevo León,
Data Analyst,Pepsico División Foods,Guanajuato,
Data Analyst,Grupo Evolve Interactive S.C.,Ciudad de México,18000.0
Data Analyst,Banorte,Nuevo León,
Data Analyst,Banorte,Nuevo León,
Data Analyst,Psm Asesores,Ciudad de México,22000.0
Data Analyst,Price Shoes,Ciudad de México,
Data Analyst,"Fisofo, S.A. De C.V., Sofom Er",Tamaulipas,8500.0
Data Analyst,Deloitte,Ciudad de México,
Data Analyst,Compras Centrales Y Administración...,Ciudad de México,23000.0
Data Analyst,Cuatro Networks S De Rl De Cv,Ciudad de México,17500.0
Data Analyst,Tecnológico De Monterrey,Nuevo León,
Data Analyst,Performance And People Consulting Sc,Ciudad de México,18250.0
Data Analyst,Grupo Salinas,Ciudad de México,
Data Analyst,Servicios Corporativos Ftm Sc,Estado de México,14500.0
Data Analyst,Unidad De Servicios Compartidos Gi...,Ciudad de México,12500.0
Data Analyst,"Servicios Tvm De México, S.A. De C...",Ciudad de México,19000.0
Data Analyst,Plm Premier Sapi De Cv,Ciudad de México,19000.0
Data Analyst,Universidad Univer Milenium Del Es...,Ciudad de México,
Data Analyst,Administración Integral Firpo Izca...,Ciudad de México,
Data Analyst,"Profesionales, Asesores Corporativ...",Ciudad de México,16500.0
Data Analyst,Bintech S.A De C.V,Ciudad de México,22500.0
Data Analyst,"Operativo Evenplan, S.C.",Ciudad de México,
Data Analyst,Randstad,Ciudad de México,
Data Analyst,"Pharmacore Group, Sa De Cv",Ciudad de México,29000.0
Data Analyst,Callcom Sa De Cv,Nuevo León,8000.0
